STT,Chức năng,Nhiệm vụ,PIC,Ngày,Ước tính,Trạng thái,Ghi chú
1,Kịch bản 6 — Xe cấp cứu,Tạo TrafficLightController.cs: chu kỳ Đỏ(15s)→Xanh(10s)→Vàng(3s) + Text đếm ngược trên UI,Hiếu,18/05/2026,3h,Chưa làm,
2,Kịch bản 6 — Xe cấp cứu,Tạo Scene 6 trong Unity: layout giao lộ + đặt đèn giao thông + vạch dừng StopLine + xe NPC đứng hai bên + waypoint cho xe cấp cứu,Hiếu,19/05/2026,3h,Chưa làm,
3,Kịch bản 6 — Xe cấp cứu,Tạo AmbulanceAI.cs: di chuyển waypoint + còi Spatial Blend=1.0 + đèn nháy xanh/đỏ bằng coroutine Emission,Hiếu,20/05/2026,3h,Chưa làm,
4,Kịch bản 6 — Xe cấp cứu,Tạo Scene6Manager.cs: state machine 4 trạng thái + detect 3 hành vi học viên + gọi LearningProgress.RecordViolation() đúng điều khoản,Hiếu,21/05/2026,3h,Chưa làm,
5,Kịch bản 6 — Xe cấp cứu,Test toàn bộ kịch bản 6 cả 3 kết quả + fix bugs + commit + tạo PR vào develop,Hiếu,22/05/2026,2h,Chưa làm,
6,Kịch bản 6 — Xe cấp cứu,Buffer — hỗ trợ tích hợp LearningProgress vào Scene 6 nếu cần,Hiếu,24/05/2026,1h,Chưa làm,
7,Hệ thống Đánh giá Học viên,Tạo LearningProgress.cs: singleton DontDestroyOnLoad + struct Violation + RecordViolation(scene/article/desc) + GetReport(),Tiên,18/05/2026,3h,Chưa làm,
8,Hệ thống Đánh giá Học viên,"Hook kịch bản 3: TurnScenario.cs → khi SpeedUpToCrash() → RecordViolation(3, ""Điều 15"", ""Không bật xi-nhan""); Hook kịch bản 5: hornGameOverManager.cs → RecordViolation(5, ""Điều 8"", ""Bấm còi sai mục đích"")",Tiên,19/05/2026,3h,Chưa làm,
9,Hệ thống Đánh giá Học viên,Tạo DebriefingScene trong Unity + DebriefingScreen.cs đọc LearningProgress.GetReport() → hiện danh sách vi phạm từng kịch bản + khuyến nghị ôn tập,Tiên,20/05/2026,3h,Chưa làm,
10,Hệ thống Đánh giá Học viên,Liên kết kịch bản tự động: sửa WinManager các kịch bản → KB3→KB4→KB5→KB6→DebriefingScene thay vì reload lại cùng scene,Tiên,21/05/2026,2h,Chưa làm,
11,Hệ thống Đánh giá Học viên,Test flow đầy đủ: vào KB3 vi phạm → qua KB4/KB5/KB6 → DebriefingScene phải hiện đúng vi phạm + điều khoản,Tiên,22/05/2026,2h,Chưa làm,
12,Hệ thống Đánh giá Học viên,Fix bug nếu có + commit + PR vào develop,Tiên,23/05/2026,1h,Chưa làm,
13,Hướng dẫn & QA,Cải thiện HUD kịch bản 5: thay text cảnh báo bằng 3 icon còi (Image) — mỗi vi phạm set icon.color = gray; chỉnh HornUIController.cs,Thành viên C,18/05/2026,3h,Chưa làm,
14,Hướng dẫn & QA,Tạo SceneTransitionManager.cs + TransitionScreen prefab: tên kịch bản + mục tiêu học + điều khoản áp dụng + coroutine fade-in/out,Thành viên C,19/05/2026,3h,Chưa làm,
15,Hướng dẫn & QA,Test end-to-end thủ công toàn bộ flow KB3→KB4→KB5→KB6→DebriefingScene + ghi lỗi vào instructor/bug-log.md,Thành viên C,20/05/2026,3h,Chưa làm,
16,Hướng dẫn & QA,"Fix bugs từ bug list (ưu tiên: kịch bản không chuyển được > UI sai > mất âm thanh > cosmetic)",Thành viên C,21/05/2026,3h,Chưa làm,
17,Hướng dẫn & QA,Thêm tooltip kịch bản 3: khi vào TurnScenario zone hiện Text ""Nhớ bật xi-nhan và kiểm tra gương!"" trong 2.5 giây rồi ẩn; chỉnh TurnScenario.cs,Thành viên C,22/05/2026,2h,Chưa làm,
18,Hướng dẫn & QA,Đồng bộ style UI toàn game: cùng font + nền panel #000000 alpha=180 + cỡ chữ tiêu đề 36 + commit + PR,Thành viên C,23/05/2026,2h,Chưa làm,
19,Hướng dẫn & QA,Build thử: File → Build Settings → Build → chạy file .exe test toàn bộ flow không cần Unity Editor,Thành viên C,24/05/2026,2h,Chưa làm,
20,Hướng dẫn & QA,Final QA: chạy toàn bộ mô phỏng 2 lần liên tục không crash + chuẩn bị script demo cho buổi báo cáo,Thành viên C,25/05/2026,2h,Chưa làm,
